Gene	WT_Nondiff_3_Control_vs_WT_Nondiff_2_Control-FC	WT_Nondiff_3_Control_vs_WT_Nondiff_2_Control-p	WT_Nondiff_3_Control_vs_WT_Nondiff_2_Control-FDR	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_1_Control-FC	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_1_Control-p	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_1_Control-FDR	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_2_Control-FC	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_2_Control-p	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_2_Control-FDR	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_3_Control-FC	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_3_Control-p	WT_Nondiff_ESCs_Control_vs_WT_Nondiff_3_Control-FDR
1500009L16Rik	-0.4	0.0097	0.022	-0.37	0.32	0.83	-0.52	0.04	0.16	-0.11	0.54	0.68
1500011B03Rik	-0.23	0.17	0.26	0.43	0.066	0.34	-0.19	0.37	0.77	0.04	0.82	0.85
1500011K16Rik	0.25	0.56	0.64	0.16	0.81	0.9	0.69	0.3	0.67	0.44	0.46	0.68
1500012F01Rik	0.17	0.28	0.39	-0.66	0.12	0.5	-0.59	0.14	0.41	-0.76	0.083	0.25
1500015L24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1500015O10Rik	1.9	0.019	0.041	1.1	0.41	0.9	1.2	0.024	0.11	-0.71	0.18	0.47
1500016L03Rik	0.59	0.49	0.57	0.75	0.3	0.82	2.9	0.00028	0.011	2.3	0.028	0.11
1500017E21Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1500035N22Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
1520401A03Rik	-0.63	0.46	0.55	1.2	0.43	0.9	-1.7	0.26	0.59	-1	0.5	0.68
1600002D24Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1600002H07Rik	0.26	0.024	0.049	0.01	0.97	0.98	0.4	0.095	0.3	0.14	0.46	0.68
1600002K03Rik	1	0.021	0.045	-0.44	0.58	0.9	0.94	0.21	0.54	-0.09	0.89	0.91
1600010F14Rik	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
1600012H06Rik	-0.19	0.0054	0.012	0.1	0.54	0.9	-0.01	0.95	0.96	0.19	0.11	0.31
1600012P17Rik	-1.4	0.31	0.41	-1.6	0.31	0.83	-0.35	0.84	0.86	1.1	0.48	0.68
1600014C10Rik	-0.01	0.91	0.93	0.64	0.021	0.18	0.83	0.0082	0.053	0.84	0.0091	0.051
1600014C23Rik	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
1600014K23Rik	-1.3	0.059	0.11	0.12	0.92	0.95	1.4	0.29	0.64	2.7	0.082	0.25
1600015I10Rik	0.16	0.002	0.0048	-0.83	0.33	0.84	-0.73	0.37	0.77	-0.9	0.28	0.63
1600016N20Rik	-0.66	0.17	0.26	0.18	0.57	0.9	1.1	0.02	0.098	1.8	0.004	0.031
